peso,diametro
295,27
274,26.4
312,27
367,29
187,23
205,24
161,21.5
168,21.8
205,23
172,22
201,23.5
182,22.5
199,24
179,22.5
315,26.7
225,24
200,23.7
182,22.5
150,21.2
179,22.5
120,19.4
143,21.4
120,20
148,21
182,21.3
143,19
28,11.5
24,11
21,10.5
21,11
21,11.2
16,10
23,11.2
25,11.5
22,11.1
24,11.4
23,11.3
23,11.2
20,11.1
28,11.7
21,11
20,11.5
18,11
23,11.5
15,10.5
22,11
36,12.5
17,10
32,12.5
26,12
26,11.5
23,11.5
22,11
25,11
201,22.3
116,18.9
143,20
156,20.7
161,20.9
